country,code,year,life_expectancy,pm25,undernourishment,gdp_per_capita,log_gdp_per_capita
Togo,TGO,2018,60.6006,36.83061,19.9,1466.341,3.1662349779430317
Thailand,THA,2018,77.1903,23.68253,7.0,16610.05,4.220370939777789
Tajikistan,TJK,2018,70.7366,58.57753,10.6,4440.1567,3.6473982973093126
Turkmenistan,TKM,2018,69.2718,29.17182,3.5,18064.107,4.256816497066053
Trinidad and Tobago,TTO,2018,72.6582,10.71643,7.0,27863.434,4.445034639559089
Tunisia,TUN,2018,75.37,27.21906,2.7,11376.29,4.056000654394347
Turkey,TUR,2018,77.4535,23.28703,2.5,23650.49,4.373840143048107
Tanzania,TZA,2018,65.488,15.4112,23.6,2785.1824,3.444853642137956
Uganda,UGA,2018,65.7751,31.72916,38.4,2036.3313,3.308848436757467
Ukraine,UKR,2018,73.5691,14.23927,3.0,9827.172,3.9924285573542706
Uruguay,URY,2018,77.5273,8.81777,2.5,19697.76,4.2944168416463055
United States,USA,2018,78.7997,8.13413,2.5,55454.668,4.743938109571091
Uzbekistan,UZB,2018,71.9988,44.62058,2.5,10682.418,4.028669567786056
Venezuela,VEN,2018,72.6415,17.06222,23.2,9446.1875,3.9752565617580626
Vietnam,VNM,2018,74.1004,20.09202,6.6,6842.1387,3.8351918737125477
Yemen,YEM,2018,65.9154,41.6231,40.2,2281.545,3.3582290389903164
South Africa,ZAF,2018,65.726,19.52362,5.7,11873.3,4.074571441162499
Zambia,ZMB,2018,62.1381,16.98833,30.5,3521.5051,3.546728321693352
Zimbabwe,ZWE,2018,60.9055,13.11527,38.7,1900.1992,3.2787991309139293
